City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
391,Nuuk,GL,44.6,64.18,-51.72,light snow,Vandrehuset
392,Vila Franca Do Campo,PT,68.0,37.72,-25.43,broken clouds,Pestana Bahia Praia
393,Belmonte,BR,71.6,-15.86,-38.88,clear sky,Pousada Monte Carmelo O Pão
394,Baykit,RU,53.64,61.67,96.37,overcast clouds,Gostinitsa
395,Coolum Beach,AU,64.0,-26.53,153.1,light rain,Coolum Beach Resort
396,Luderitz,,55.4,-26.65,15.16,clear sky,LÜDERITZ NEST HOTEL
397,Tiznit,MA,69.28,29.58,-9.5,clear sky,
398,Shellbrook,CA,68.0,53.22,-106.4,scattered clouds,Shellbrook Hotel
399,Beloha,MG,62.76,-25.17,45.05,clear sky,
400,Kisangani,CD,72.19,0.52,25.2,light rain,Grand Ramela Hotel
401,Guanhaes,BR,60.76,-18.77,-42.93,clear sky,CARAVELLE HOTEL Guanhães - MG
402,Khakhea,BW,55.9,-24.69,23.49,clear sky,
403,Ystad,SE,46.4,55.43,13.82,broken clouds,Continental du Sud
404,Ayaviri,PE,42.93,-14.89,-70.59,overcast clouds,Restaurante Kankacho Ely
406,Suluq,LY,72.36,31.67,20.25,clear sky,ورشة الحضيري لاكترونات وخدمات النت
407,Dudinka,RU,53.6,69.41,86.18,clear sky,Hotel Viktoria
409,Ipswich,GB,57.99,52.06,1.16,light intensity drizzle,Novotel Ipswich Centre
410,Aljezur,PT,73.0,37.32,-8.8,clear sky,Amazigh Hostel
411,Gladstone,AU,69.8,-23.85,151.25,broken clouds,Metro Hotel and Apartments Gladstone
412,Presidencia Roque Saenz Pena,AR,49.62,-26.79,-60.44,clear sky,Hotel Aconcagua
414,Poli,TZ,66.2,-3.33,36.8,moderate rain,Peace Matunda Campsite and Backpackers
415,Saint-Pierre,RE,68.0,-21.34,55.48,broken clouds,Lindsey Hôtel
416,Aklavik,CA,44.6,68.22,-135.01,shower rain,Aklavik Inn
419,Maua,BR,59.0,-23.67,-46.46,few clouds,Hotel Capriccio Mauá
